Product Name,Description,Price,Stock Quantity,Category
Laptop,"15.6-inch Full HD, Intel Core i7, 16GB RAM, 512GB SSD, Windows 10",1199.99,50,Electronics
Smartphone,"6.5-inch Super AMOLED display, Snapdragon 888 processor, 128GB storage, 12GB RAM",799.99,100,Electronics
T-Shirt,"100% cotton, crew neck, available in multiple colors and sizes",14.99,200,Clothing
Running Shoes,"Breathable mesh upper, cushioned midsole, durable rubber outsole",89.99,75,Shoes
Headphones,"Over-ear design, noise-canceling technology, Bluetooth connectivity",99.99,150,Electronics
Desk Chair,"Ergonomic design, adjustable height and tilt, mesh back for breathability",199.99,30,Furniture
Backpack,"Water-resistant material, multiple compartments, padded laptop sleeve",49.99,120,Accessories
Coffee Maker,"Programmable, 12-cup capacity, auto-shutoff feature",69.99,50,Appliances
Gaming Console,"4K gaming support, SSD storage, wireless controller included",399.99,50,Electronics
Sweater,"Soft knit fabric, ribbed cuffs and hem, classic crewneck style",34.99,150,Clothing
Sandals,"Comfortable footbed, adjustable straps, suitable for casual wear",19.99,100,Shoes
Tablet,"10.1-inch display, octa-core processor, 64GB storage, Android OS",149.99,80,Electronics
Watch,"Stainless steel case, quartz movement, water-resistant up to 50 meters",99.99,100,Accessories
Dress,"Floral print, wrap style, knee-length, available in various sizes",49.99,80,Clothing
Blender,"700-watt motor, multiple speed settings, removable stainless steel blades",39.99,60,Appliances
Hiking Boots,"Waterproof construction, rugged outsole, ankle support",129.99,50,Shoes
TV,"55-inch 4K UHD display, smart TV features, HDR support",599.99,40,Electronics
Jeans,"Classic denim fabric, straight leg fit, available in different washes",44.99,120,Clothing
Sneakers,"Canvas upper, rubber sole, lace-up closure",59.99,90,Shoes
Microwave,"900-watt power, multiple cooking presets, digital display",89.99,30,Appliances